absolute_path	allocated_bytes	classification	validation_conclusion
/home/clawd/research/scion-experiments/v04-codegen-timeout-policy-sonnet-2r-20260515T010840Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-contract-integration-gate-sonnet-2r-20260515T223356Z	8192	pre-campaign-shell	PASS:only_launch_metadata,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-cross-branch-lessons-6r-gpt55-20260604T130144Z-claw	16384	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-dual-sonnet-20260504T091136Z	20480	pre-campaign-shell	PASS:two_problem_pid_and_empty_log_shells_only,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-forced-destroy-repair-policy-sonnet-8r-20260511T062700Z	20480	pre-campaign-launch-failure	PASS:unbound_RUN_ROOT_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-grounding-routing-repair-sonnet-3r-20260520T180410Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-grounding-routing-repair-sonnet-3r-20260520T180509Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-grounding-routing-repair-sonnet-3r-20260520T180623Z	20480	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-grounding-telemetry-repair-sonnet-3r-20260519T094425Z	8192	pre-campaign-shell	PASS:only_pid_info_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-grounding-telemetry-repair-sonnet-3r-20260519T095018Z	8192	pre-campaign-shell	PASS:only_pid_info_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-main-search-deep-diagnostic-sonnet-5r-20260509T150751Z	20480	pre-campaign-shell	PASS:only_launch_metadata_pid_empty_log_and_empty_campaign_dir,no_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p0-p1-framework-pressure-sonnet-6r-20260517T183033Z	16384	pre-campaign-shell	PASS:only_runner_pid_and_empty_logs,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p0-p1-telemetry-closure-sonnet-3r-20260518T014755Z	12288	pre-campaign-shell	PASS:only_runner_pid_and_empty_logs,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p2-agentic-loop-closure-sonnet-3r-20260518T163001Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p2-agentic-loop-closure-sonnet-3r-20260518T190322Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p2-agentic-loop-closure-sonnet-3r-20260518T190402Z	12288	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-p2-agentic-loop-closure-sonnet-3r-20260518T190418Z	12288	pre-campaign-infrastructure-failure	PASS:missing_numpy_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-phase4-focused-warehouse-canaryfix-20260611-4r-gpt55-20260611T234617Z-claw	24576	pre-campaign-shell	PASS:launch_START_only_and_no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-phase4-focused-warehouse-canaryfix-rerun-20260611-4r-gpt55-20260611T234745Z-claw	20480	pre-campaign-shell	PASS:launch_metadata_pid_and_empty_logs_only,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-preview-timeout-repair-smoke-sonnet-2r-20260513T232254Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-research-surface-short-20260505T020348Z	12288	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-runtime-evidence-governance-6r-gpt55-20260604T154400Z-claw	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_empty_log_and_empty_campaign_dir,no_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-runtime-smoke-audit-repair-sonnet-2r-20260515T113802Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-solver-design-semantic-identity-sonnet-4r-20260512T013912Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-solver-preview-repair-smoke-sonnet-2r-20260514T073547Z	12288	pre-campaign-shell	PASS:only_START_metadata_and_pid,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-solver-preview-repair-smoke-sonnet-2r-20260514T073650Z	12288	pre-campaign-shell	PASS:only_START_metadata_and_pid,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-boundary-lifecycle-sonnet-3r-20260521T153402Z	12288	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-branch-followup-gpt55-12r-20260529T224247Z-claw	12288	pre-campaign-shell	PASS:only_pid_empty_log_and_run_metadata,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-codex-proxy-gpt55-4r-20260524T081910Z	12288	pre-campaign-shell	PASS:only_env_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-codex-proxy-gpt55-4r-20260524T081946Z-retry	12288	pre-campaign-shell	PASS:only_env_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-control-closure-sonnet-3r-20260517T064512Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-diffaware-gates-sonnet-3r-20260523T210926Z	8192	pre-campaign-infrastructure-failure	PASS:missing_numpy_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-gpt55-standard-4r-20260524T140039Z-claw	8192	pre-campaign-shell	PASS:only_pid_and_empty_launcher_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-gpt55-standard-4r-20260524T140202Z-claw	8192	pre-campaign-shell	PASS:only_pid_and_empty_launcher_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-gpt55-standard-4r-20260524T140242Z-claw	16384	pre-campaign-infrastructure-failure	PASS:missing_numpy_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-hard-edit-protocol-sonnet-3r-20260523T130014Z	24576	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-hard-edit-protocol-sonnet-3r-20260523T130333Z	24576	pre-campaign-infrastructure-failure	PASS:unresolved_data_root_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-helper-source-c8fix-gpt55-12r-20260530T071438Z-claw	12288	pre-campaign-shell	PASS:only_pid_empty_log_and_run_metadata,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-lifecycle-reroute-gpt55-4r-20260526T031423Z-claw	12288	pre-campaign-shell	PASS:only_launcher_pid_script_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0-control-repair-sonnet-3r-20260524T095601Z	16384	pre-campaign-infrastructure-failure	PASS:missing_numpy_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0-control-repair-sonnet-3r-20260524T101646Z-claw	8192	pre-campaign-shell	PASS:only_pid_and_empty_launcher_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0-control-repair-sonnet-3r-20260524T101738Z-claw	8192	pre-campaign-shell	PASS:only_pid_and_empty_launcher_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0-grounding-gate-sonnet-3r-20260523T141024Z	16384	pre-campaign-shell	PASS:only_launch_metadata_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0p1-gpt55-4r-20260527T163500Z-claw	12288	pre-campaign-shell	PASS:only_command_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0p1-gpt55-4r-20260527T164250Z-claw	12288	pre-campaign-launch-failure	PASS:command_exit_before_campaign_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-p0p1-gpt55-4r-20260527T164400Z-claw	12288	pre-campaign-launch-failure	PASS:command_exit_before_campaign_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-schema-lifecycle-gate-sonnet-3r-20260523T152727Z	8192	pre-campaign-shell	PASS:only_pid_and_empty_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v3-static-smoke-line-split-sonnet-3r-20260522T172007Z	12288	pre-campaign-infrastructure-failure	PASS:bad_problem_path_recorded_in_batch_report,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/v04-v678-sonnet-vrp-20260507T035454Z	12288	pre-campaign-shell	PASS:only_launch_metadata_and_pid,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
/home/clawd/research/scion-experiments/warehouse-20r-gpt55-20260606T075849Z-claw	16384	pre-campaign-shell	PASS:only_commit_pid_run_root_and_empty_launcher_log,no_campaign_or_scientific_artifact,no_repo_reference,no_active_owner,no_git
